Pregunta,Respuesta
¿Cómo obtengo mi credencial de estudiante por primera vez?,"Si eres estudiante de nuevo ingreso, recibirás una credencial física al inscribirte. Si ingresaste por revalidación/equivalencia, realiza el pago, entrega fotografía y firma digitalizadas, y los comprobantes en tu facultad."
¿Qué hago si pierdo mi credencial física?,"Realiza el pago por reposición y resello, y entrega los comprobantes en tu facultad para gestionar la reposición de tu credencial física."
¿Cómo obtengo mi credencial electrónica?,Accede al portal MiUV o la app móvil. Solo necesitas estar inscrito en algún programa educativo. La credencial electrónica se actualiza en tiempo real y es válida para acceder a los servicios institucionales.
¿Cuáles son los requisitos para la credencial física por revalidación?,"Pago por concepto de credencial y resello, fotografía y firma digitalizadas, y comprobantes de pago entregados en la facultad."
¿Cómo solicito la reexpedición de credencial física por cambio de identidad sexo-genérica?,Consulta el procedimiento en la PARTE 2 de los lineamientos en el portal de la universidad.
¿Cómo sé si mi credencial está vigente?,"La vigencia de la credencial física está en el holograma (resello), que se renueva cada periodo escolar al realizar el pago correspondiente."
¿Cuáles son los beneficios de la credencial electrónica?,"Permite acceso a servicios institucionales, programa de descuentos UV, es fácil de almacenar, reduce riesgo de pérdida, y no requiere resello."
¿Qué tipo de fotografía se acepta para la credencial?,"Fotografía a color, fondo blanco, ropa negra, de frente, sin lentes, cabeza y orejas descubiertas, sin sombras ni fecha, y archivo en formato JPG."
¿Dónde entrego los documentos para mi credencial?,En la facultad o entidad académica correspondiente.
¿Qué hacer en caso de robo de la credencial física?,Realiza el pago correspondiente y entrega los comprobantes en tu facultad para la reposición.
¿Cómo solicito mi certificado de estudios completo?,"Solicítalo en la Secretaría de tu Facultad, presenta tu acta de nacimiento, CURP y dos fotos ovaladas tamaño credencial. El costo es de $400."
¿Puedo solicitar un certificado de estudios incompleto?,"Sí, si realizaste estudios parciales puedes solicitar el certificado incompleto en la Secretaría de tu Facultad."
¿Qué requisitos hay para el certificado de estudios?,"Copia del acta de nacimiento, CURP actualizada y dos fotos ovaladas tamaño credencial, fondo blanco, de frente, con vestimenta formal especificada."
¿Cuánto cuesta el certificado de estudios?,"$400, pagaderos en cualquier caja de la Universidad o por transferencia electrónica."
¿Dónde se entregan los documentos para el certificado?,"En la Secretaría de la facultad, centro, instituto o sistema de enseñanza abierta donde realizaste tus estudios."
¿Qué es la baja definitiva?,"La baja definitiva es la pérdida del derecho de inscripción en un programa educativo, impidiendo ingreso a otro programa con el mismo título."
¿Cuáles son las causas de baja definitiva?,"Agotar inscripciones, reprobar en oportunidades extraordinarias, exceder tiempo de permanencia, sanción de expulsión, no inscribirse dos periodos consecutivos, entre otras."
¿Cómo solicito la baja definitiva?,Entrega una solicitud por escrito a la Secretaría de tu Facultad o Entidad Académica.
¿Qué pasa si me doy de baja definitiva?,Pierdes el derecho a inscribirte en el mismo programa o a otro que otorgue el mismo título o grado académico.
